variable	A named unit of data that is assigned a value. If the value is modified, the name does not change.	Programming
algorithm	A set of instructions or rules designed to solve a definite problem. The problem can be simple like adding two numbers or a complex one, such as converting a video file from one format to another.	Programming
program	An organized collection of instructions, which when executed perform a specific task or function. A program is processed by the central processing unit (CPU) of the computer before it is executed.	Programming
argument	A value that is passed into a command or a function.	Programming
bug	An unexpected error or defect in hardware or software.	Programming
character	A display unit of information equal to one alphabetic letter or symbol.	Programming
constant	A value that does not change throughout the execution of the program, unlike a variable.	Programming
exception	A special, unexpected and anomalous condition encountered during the execution of a program.	Programming
keyword	A word that is reserved by a Programming language or a program as it has a special meaning.	Programming
parse	To convert a sequence of tokens into a data structures (typically a tree and a name table) that can be used to interpret or translate the sequence.	Programming
statement	A single line of code written legally in a Programming language that expresses an action to be carried out.	Programming
function	A set of code grouped to accomplish something together.	Programming
code	A written set of instructions, written using the protocols of a particular language, such as Java, C or Python.	Programming
constructor	A function in a class that creates new objects in the class.	Programming
syntax	A set of character structures that a computer can interpret.	Programming
boolean	An expression used for creating statements that are either TRUE or FALSE.	Programming
documentation	The printed instructions, comments, and information for using a particular piece or system of computer software or hardware.	Programming
object	A combination of related variables, constants and other data structures which can be selected and manipulated together.	Programming
array	Lists or groups of similar types of data values that are grouped.	Programming
loop	A sequence of instructions that repeat the same process over and over until a condition is met and it receives the order to stop.	Programming
null	The lack of any value whatsoever.	Programming
crash	A running program to stop due to an error.	Programming
programmer	Someone who does programming	Programming
program	An organized list of instructions that, when executed, causes the computer to behave in a predetermined manner.	Programming
concatenate	Combining a string, text, or other data in a series without any gaps.	Programming
hacker	A person who has a high level of skill in computer technology or programming; a computer expert or enthusiast	Programming
debug	To investigate and fix bugs.	Programming
execute	Synonym for run.	Programming
integer	A value that represents a whole number	Programming
code	The language that programmers create and use to tell a computer what to do.	Programming
data	Information. Often, quantities, characters, or symbols that are the inputs and outputs of computer programs.	Programming
input	A way to give information to a computer.	Programming
iteration	A reptitive action or command typically created with programming loops.	Programming
parameter	An extra piece of information passed to a function to customise it for a specific need.	Programming
repeat	To do something again	Programming
programming	The art of creating a program	Programming
nested	Contained within something like itself.	Programming
return	To immediately stop a called function from running, possibly providing a value alongside.	Programming
python	Programming language that is named after a snake.	Programming
coffee	A drink that programmers commonly drink to stay awake all night.	Programming
javascript	Programming language often interpreted as JS.	Programming
github	A web-based hosting service founded in April 2008, where anyone can share programming code with anyone else.	Programming
java	An object-oriented programming language developed by James Gosling and others at Sun Microsystems, originally known as oak.	Programming
push	A function that adds one or more elements to the end of an array.	Programming
sequence	An ordered list containing successive items, or functions for performing certain actions.	Programming
comment	A text in a program's code, script, or another file that is not meant to be seen by the user running the program. However, is seen when viewing the source code.	Programming
call	A piece of code that transfers control, temporarily, to a subprogram and suspends the original code until the subprogram returns to the following statement etc.	Programming
acceleration	The rate at which the velocity of a body increases with time.	Science
deceleration	The rate at which the velocity of a body decreases with time.	Science
alloy	A chemical mixture of a metal with one or more other metals or other elements.	Science
alkali	A pH value of > 7.	Science
acid	A pH value of < 7.	Science
ampere	The SI base unit of electric current, defined as one coulomb of electric charge per second.	Science
ammeter	An instrument that is used to measure eletric current.	Science
anion	A negatively charged ion.	Science
cation	A positively charged ion.	Science
atom	A basic unit of matter that consists of a dense central nucleus surrounded by a cloud of negatively charged electrons. The atomic nucleus contains a mix of positively charged protons and electrically neutral neutrons.	Science
buoyancy	An upward force exerted by a fluid that opposes the weight of an immersed object.	Science
coulomb	The SI derived unit of electric charge, defined as the charge transported by a constant current of one ampere in one second.	Science
distance	A numerical description of how far apart objects are.	Science
electron	A subatomic particle with a negative elementary electric charge.	Science
energy	The ability to do work.	Science
force	"May the _ be with you."	Science
gravity	A natural phenomenon by which physical bodies attract each other with a force proportional to their masses.	Science
liquid	One of four classical states of matter having a definite volume but no fixed shape.	Science
matrix	A rectangular array of numbers, symbols, or expressions arranged in rows and columns. The individual items in a matrix are called its elements or entries.	Science
melting	A physical process that results in the phase transition of a substance from a solid to a liquid.	Science
joule	A derived unit of energy, work, or amount of heat in the International System of Units.	Science
kelvin	A scale and unit of measurement of temperature. The Kelvin scale is an absolute thermodynamic temperature scale which uses absolute zero as its null point.	Science
stress	An applied force or system of forces that tends to strain or deform a physical body.	Science
temperature	A physical property of matter that quantitatively expresses the common notions of hot and cold.	Science
torque	The tendency of a force to rotate an object about an axis, fulcrum, or pivot. Just as a force is a push or a pull, a torque can be thought of as a twist to an object.	Science
trajectory	The path that a moving object follows through space as a function of time.	Science
vacuum	An area of space which contains no matter.	Science
vector	Any quantity that has both magnitude and direction.	Science
scalar	Any quantity that has only magnitude	Science
volt	The SI derived unit for electric potential, electric potential difference, and electromotive force, defined as the difference in electric potential between two points of a conducting wire when an electric current of one ampere dissipates one watt of power between those two points.	Science
watt	A derived unit of power in the International System of Units (SI) defined as one joule per second. The watt measures the rate of energy conversion or transfer.	Science
wave	A disturbance or oscillation that travels through spacetime accompanied by a transfer of energy.	Science
wind	The flow of gases on a large scale.	Science
analog	When the behavior of one corresponds to the behavior of something else continuously rather than in steps. The signals to a composite monitor from computer are known as analog voltages.	Science
